Category,File Name,Title,Creator,Description,Keywords,Artwork_Type,SpacesSet,flickrid,flickrpageurl,flickrimageurl,flickrimageurl_text,username,nsid,pathalias
SET 01,10952727204.jpg,-,zigwaffle,2013-11-11 - American Wing Courtyard balcony - View from balcony,"Artwork,sculpture,Inhabited,3D,American,Department,Space,Art2or3",Sculpture,DeptSpaces,10952727204,https://www.flickr.com/photos/8729032@N06/10952727204/,http://c2.staticflickr.com/6/5501/10952727204_a7ca43c583.jpg,http://c2.staticflickr.com/6/5501/10952727204_a7ca43c583.jpg,zigwaffle,8729032@N06,
SET 01,13476672063.jpg,-,rverc,-,"Artwork,sculpture,3D,Roman,Space,Art2or3",Sculpture,DeptSpaces,13476672063,https://www.flickr.com/photos/rverc/13476672063/,http://c2.staticflickr.com/8/7162/13476672063_ddd12589c2.jpg,http://c2.staticflickr.com/8/7162/13476672063_ddd12589c2.jpg,rverc,26270547@N07,rverc
SET 01,13518457503.jpg,-,Silvio Lucchini,-,"Artwork,sculpture,Inhabited,3D,Roman,Space,Art2or3",Sculpture,DeptSpaces,13518457503,https://www.flickr.com/photos/tilius/13518457503/,http://c2.staticflickr.com/4/3790/13518457503_18b495c5bf.jpg,http://c2.staticflickr.com/4/3790/13518457503_18b495c5bf.jpg,Tilius - Silvio Lucchini,61624831@N00,tilius
SET 01,13910374090.jpg,-,angelica therese,-,"Artwork,sculpture,Inhabited,3D,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces,13910374090,https://www.flickr.com/photos/angelicatherese/13910374090/,http://c2.staticflickr.com/3/2933/13910374090_99b567f00d.jpg,http://c2.staticflickr.com/3/2933/13910374090_99b567f00d.jpg,angelica therese,119879946@N08,angelicatherese
SET 01,13910386888.jpg,-,angelica therese,-,"Inhabited,sculpture,Artwork,3D,Space,Art2or3",Sculpture,DeptSpaces,13910386888,https://www.flickr.com/photos/angelicatherese/13910386888/,http://c2.staticflickr.com/3/2928/13910386888_7f77ab0c2c.jpg,http://c2.staticflickr.com/3/2928/13910386888_7f77ab0c2c.jpg,angelica therese,119879946@N08,angelicatherese
SET 01,13959309096.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,3D,Space,Art2or3",Sculpture,DeptSpaces,13959309096,https://www.flickr.com/photos/113314806@N07/13959309096/,http://c2.staticflickr.com/3/2916/13959309096_3b32926b38.jpg,http://c2.staticflickr.com/3/2916/13959309096_3b32926b38.jpg,The diary of Blue Shoes!,113314806@N07,
SET 01,13959310436.jpg,-,The diary of Blue Shoes!,                               ,"Inhabited,Artwork,3D,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces,13959310436,https://www.flickr.com/photos/113314806@N07/13959310436/,http://c2.staticflickr.com/8/7433/13959310436_fa282b32b2.jpg,http://c2.staticflickr.com/8/7433/13959310436_fa282b32b2.jpg,The diary of Blue Shoes!,113314806@N07,
SET 01,13979232361.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,3D,single,Artwork_number,Space,Art2or3",Sculpture,DeptSpaces,13979232361,https://www.flickr.com/photos/113314806@N07/13979232361/,http://c2.staticflickr.com/8/7126/13979232361_ef28c0cd57.jpg,http://c2.staticflickr.com/8/7126/13979232361_ef28c0cd57.jpg,The diary of Blue Shoes!,113314806@N07,
SET 01,13979233161.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,3D,single,Artwork_number,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces,13979233161,https://www.flickr.com/photos/113314806@N07/13979233161/,http://c2.staticflickr.com/3/2928/13979233161_8a45073026.jpg,http://c2.staticflickr.com/3/2928/13979233161_8a45073026.jpg,The diary of Blue Shoes!,113314806@N07,
SET 01,13979234661.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,Inhabited,3D,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces,13979234661,https://www.flickr.com/photos/113314806@N07/13979234661/,http://c2.staticflickr.com/6/5110/13979234661_99786393ce.jpg,http://c2.staticflickr.com/6/5110/13979234661_99786393ce.jpg,The diary of Blue Shoes!,113314806@N07,
SET 01,13982418215.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,Inhabited,3D,Space,Art2or3",Sculpture,DeptSpaces,13982418215,https://www.flickr.com/photos/113314806@N07/13982418215/,http://c2.staticflickr.com/6/5038/13982418215_91f1613933.jpg,http://c2.staticflickr.com/6/5038/13982418215_91f1613933.jpg,The diary of Blue Shoes!,113314806@N07,
SET 01,13982845904.jpg,-,The diary of Blue Shoes!,                               ,"Inhabited,Temple_Dendur,Space,3D,Art2or3,sculpture,Artwork",Sculpture,DeptSpaces,13982845904,https://www.flickr.com/photos/113314806@N07/13982845904/,http://c2.staticflickr.com/8/7298/13982845904_edb88aa1e9.jpg,http://c2.staticflickr.com/8/7298/13982845904_edb88aa1e9.jpg,The diary of Blue Shoes!,113314806@N07,
SET 01,13982849614.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,Inhabited,3D,Space,Art2or3",Sculpture,DeptSpaces,13982849614,https://www.flickr.com/photos/113314806@N07/13982849614/,http://c2.staticflickr.com/6/5179/13982849614_abb6eed9ce.jpg,http://c2.staticflickr.com/6/5179/13982849614_abb6eed9ce.jpg,The diary of Blue Shoes!,113314806@N07,
SET 01,13982850834.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,Inhabited,3D,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces,13982850834,https://www.flickr.com/photos/113314806@N07/13982850834/,http://c2.staticflickr.com/3/2929/13982850834_33a98bef23.jpg,http://c2.staticflickr.com/3/2929/13982850834_33a98bef23.jpg,The diary of Blue Shoes!,113314806@N07,
SET 01,14002408693.jpg,-,The diary of Blue Shoes!,                               ,"Inhabited,Space,3D,Art2or3,sculpture,Artwork",Sculpture,DeptSpaces,14002408693,https://www.flickr.com/photos/113314806@N07/14002408693/,http://c2.staticflickr.com/3/2927/14002408693_e354148198.jpg,http://c2.staticflickr.com/3/2927/14002408693_e354148198.jpg,The diary of Blue Shoes!,113314806@N07,
SET 01,14002409153.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,3D,Space,Art2or3",Sculpture,DeptSpaces,14002409153,https://www.flickr.com/photos/113314806@N07/14002409153/,http://c2.staticflickr.com/6/5575/14002409153_3d27a1f04b.jpg,http://c2.staticflickr.com/6/5575/14002409153_3d27a1f04b.jpg,The diary of Blue Shoes!,113314806@N07,
SET 01,14002409523.jpg,-,The diary of Blue Shoes!,                               ,"Inhabited,Artwork,3D,Space,Art2or3,sculpture",Sculpture,DeptSpaces,14002409523,https://www.flickr.com/photos/113314806@N07/14002409523/,http://c2.staticflickr.com/6/5095/14002409523_4320348c3a.jpg,http://c2.staticflickr.com/6/5095/14002409523_4320348c3a.jpg,The diary of Blue Shoes!,113314806@N07,
SET 01,14002411263.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,Inhabited,3D,single,Artwork_number,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces,14002411263,https://www.flickr.com/photos/113314806@N07/14002411263/,http://c2.staticflickr.com/8/7106/14002411263_5c1180d197.jpg,http://c2.staticflickr.com/8/7106/14002411263_5c1180d197.jpg,The diary of Blue Shoes!,113314806@N07,
SET 01,14097413224.jpg,-,angelica therese,-,"Artwork,sculpture,Inhabited,3D,single,Artwork_number,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces,14097413224,https://www.flickr.com/photos/angelicatherese/14097413224/,http://c2.staticflickr.com/8/7330/14097413224_ff1dc052cc.jpg,http://c2.staticflickr.com/8/7330/14097413224_ff1dc052cc.jpg,angelica therese,119879946@N08,angelicatherese
SET 01,14117060453.jpg,-,angelica therese,-,"sculpture,Artwork,3D,single,Artwork_number,Space,Art2or3",Sculpture,DeptSpaces,14117060453,https://www.flickr.com/photos/angelicatherese/14117060453/,http://c2.staticflickr.com/6/5441/14117060453_9d1476c3d8.jpg,http://c2.staticflickr.com/6/5441/14117060453_9d1476c3d8.jpg,angelica therese,119879946@N08,angelicatherese
SET 01,14225476400.jpg,-,a.cadore,-,"Inhabited,sculpture,Artwork,3D,single,Artwork_number,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces,14225476400,https://www.flickr.com/photos/acadore/14225476400/,http://c2.staticflickr.com/4/3877/14225476400_ccae395e4e.jpg,http://c2.staticflickr.com/4/3877/14225476400_ccae395e4e.jpg,a.cadore,81430403@N08,acadore
SET 01,14241613173.jpg,-,Afchine Davoudi,"La representation continue 0874 - Un soir au Metropolitan Museum of Art (Petrie Court), Manhattan, New York City, USA","Artwork,sculpture,Inhabited,3D,MetropolitanInDesc,Description,Space,Art2or3",Sculpture,DeptSpaces,14241613173,https://www.flickr.com/photos/50260960@N06/14241613173/,http://c2.staticflickr.com/6/5035/14241613173_545f2901d6.jpg,http://c2.staticflickr.com/6/5035/14241613173_545f2901d6.jpg,Afchine Davoudi,50260960@N06,
SET 01,14354772102.jpg,-,Allan482,-,"Artwork,sculpture,3D,Space,Roman_LevyWhite_Court_162,Art2or3",Sculpture,DeptSpaces,14354772102,https://www.flickr.com/photos/63977172@N04/14354772102/,http://c2.staticflickr.com/4/3877/14354772102_9be3032476.jpg,http://c2.staticflickr.com/4/3877/14354772102_9be3032476.jpg,Allan482,63977172@N04,
SET 01,14417568558.jpg,-,Eddie C3,"The Robert Lehman Spiderweb  The Robert Lehman Collection, one of the most distinguished privately assembled art collections in the United States, could easily stand alone as one of the nation's world class museums. Except it is not a free standing museum, just one of many glorious wings that can be found in the 2 million square feet of the Metropolitan Museum of Art.","Space,MetropolitanInDesc,Description,Lehman_Collection_950,2D,Art2or3,3D,painting,Artwork",Painting,DeptSpaces,14417568558,https://www.flickr.com/photos/edcnyc/14417568558/,http://c2.staticflickr.com/4/3911/14417568558_6503f98bb8.jpg,http://c2.staticflickr.com/4/3911/14417568558_6503f98bb8.jpg,Eddie C3,33255932@N04,edcnyc
SET 01,14418396607.jpg,-,Eddie C3,"cmp3.10.3.1Lq4 0xf5fffab1 An American Courtyard  The Charles Engelhard Court is th 136,000-square-foot Crystal Palace of Central Park. The glassed-in courtyard, filled with some 60 monumental marbles, bronzes, mosaics, stained-glass windows and architectural elements, acts as the gateway the American Wing of the Metropolitan Museum.   The centerpiece 'Diana' a smaller version of the Augustus Saint-Gaudens weather vane that once stood above the second Madison Square Garden now points toward the entrance of the American wing.   In the background is the facade of the Branch Bank of the United States that was once a Central Park outdoor entrance to the Met's American collection. The two Beaux-Arts bronze lampposts flanking the Bank facade were the original lampposts that Richard Morris Hunt designed for the Met entrance.","Inhabited,American,Department,MetropolitanInDesc,Description,Space,3D,Art2or3,sculpture,Artwork",Sculpture,DeptSpaces,14418396607,https://www.flickr.com/photos/edcnyc/14418396607/,http://c2.staticflickr.com/4/3837/14418396607_83ebece70f.jpg,http://c2.staticflickr.com/4/3837/14418396607_83ebece70f.jpg,Eddie C3,33255932@N04,edcnyc
