Category,File Name,Title,Creator,Description,Keywords,Artwork_Type,SpacesSet
SET 01,10952727204.jpg,-,zigwaffle,2013-11-11 - American Wing Courtyard balcony - View from balcony,"Artwork,sculpture,Inhabited,3D,American,Department,Space,Art2or3",Sculpture,DeptSpaces
SET 01,13476672063.jpg,-,rverc,-,"Artwork,sculpture,3D,Roman,Space,Art2or3",Sculpture,DeptSpaces
SET 01,13518457503.jpg,-,Silvio Lucchini,-,"Artwork,sculpture,Inhabited,3D,Roman,Space,Art2or3",Sculpture,DeptSpaces
SET 01,13910374090.jpg,-,angelica therese,-,"Artwork,sculpture,Inhabited,3D,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 01,13910386888.jpg,-,angelica therese,-,"Inhabited,sculpture,Artwork,3D,Space,Art2or3",Sculpture,DeptSpaces
SET 01,13959309096.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,3D,Space,Art2or3",Sculpture,DeptSpaces
SET 01,13959310436.jpg,-,The diary of Blue Shoes!,                               ,"Inhabited,Artwork,3D,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 01,13979232361.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,3D,single,Artwork_number,Space,Art2or3",Sculpture,DeptSpaces
SET 01,13979233161.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,3D,single,Artwork_number,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 01,13979234661.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,Inhabited,3D,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 01,13982418215.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,Inhabited,3D,Space,Art2or3",Sculpture,DeptSpaces
SET 01,13982845904.jpg,-,The diary of Blue Shoes!,                               ,"Inhabited,Temple_Dendur,Space,3D,Art2or3,sculpture,Artwork",Sculpture,DeptSpaces
SET 01,13982849614.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,Inhabited,3D,Space,Art2or3",Sculpture,DeptSpaces
SET 01,13982850834.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,Inhabited,3D,Temple_Dendur,Space,Art2or3",Sculpture,DeptSpaces
SET 01,14002408693.jpg,-,The diary of Blue Shoes!,                               ,"Inhabited,Space,3D,Art2or3,sculpture,Artwork",Sculpture,DeptSpaces
SET 01,14002409153.jpg,-,The diary of Blue Shoes!,                               ,"Artwork,sculpture,3D,Space,Art2or3",Sculpture,DeptSpaces
