"Category","File Name","Job Identifier","Title","Creator","Description","Keywords","Artwork_Type"
"SET 32","4108498682.jpg","-","contrast","m_muldoon","NA","'m_muldoon: modernart, m_muldoon: metropolitanmuseum, m_muldoon: contrast, m_muldoon: red, m_muldoon: blue,','m_muldoon: modernart, m_muldoon: metropolitanmuseum, m_muldoon:,3D,Art2or3,2D,Artwork,painting_and_sculpture","Sculpture"
"SET 32","4120714928.jpg","19.73.1","Adam and Eve by Albrecht Durer in the Metropolitan Museum of Art, May 2009","ElissaSCA","Adam and Eve, 1504, Albrecht Durer (German, 14711528), Engraving , 9 7/8 x 7 7/8 in. (25.1 x 20 cm), Fletcher Fund, 1919 (19.73.1), , Under the influence of Italian theory, Durer became increasingly drawn to the idea that the perfect human form corresponded to a system of proportion and measurements. Near the end of his life, he wrote several books codifying his theories: the Underweysung der Messung (Manual of measurement), published in 1525, and Vier Bucher von menschlichen Proportion (Four books of human proportion), published in 1528, just after his death. Durer's fascination with ideal form is manifest in Adam and Eve. The first man and woman are shown in nearly symmetrical idealized poses: each with the weight on one leg, the other leg bent, and each with one arm angled slightly upward from the elbow and somewhat away from the body. The figure of Adam is reminiscent of the Hellenistic Apollo Belvedere, excavated in Italy late in the fifteenth century. The first engravings of the sculpture were not made until well after 1504, but Durer must have seen a drawing of it. Durer was a complete master of engraving by 1504: human and snake skin, animal fur, and tree bark and leaves are rendered distinctively. The branch Adam holds is of the mountain ash, the Tree of Life, while the fig, of which Eve has broken off a branch, is the forbidden Tree of Knowledge. Four of the animals represent the medieval idea of the four temperaments: the cat is choleric, the rabbit sanguine, the ox phlegmatic, and the elk melancholic. Before the Fall, these humors were held in check, controlled by the innocence of man; once Adam and Eve ate from the apple of knowledge, all four were activated, all innocence lost., , Text from: <a href=http://www.metmuseum.org/toah/ho/08/euwc/ho_19.73.1.htm rel=nofollow>www.metmuseum.org/toah/ho/08/euwc/ho_19.73.1.htm</a>","'ElissaSCA: metropolitanmuseum, ElissaSCA: museum, ElissaSCA: art, ElissaSCA: met, ElissaSCA: mma, ElissaSCA: manhattan, ElissaSCA: newyork, ElissaSCA: newyorkcity, ElissaSCA: ny, ElissaSCA: nyc, ElissaSCA: 2009, ElissaSCA: durer, ElissaSCA: german, ElissaSCA: renaissance, ElissaSCA: fujifinepixs6000fd, ElissaSCA: engraving,','ElissaSCA: metropolitanmuseum, ElissaSCA: museum, ElissaSCA: ar,2D,Art2or3,drawing,Artwork","Drawing"
"SET 32","4107015136.jpg","-","Duo of Degas","mcj4476","The Little Fourteen-Year-Old Dancer with The Dance Class","'mcj4476: metropolitan, mcj4476: museum, mcj4476: art, mcj4476: edgar, mcj4476: degasballetdancersculpturepainting,','mcj4476: metropolitan, mcj4476: museum, mcj4476: art, mcj4476: ,3D,Art2or3,2D,Artwork,painting_and_sculpture","Sculpture"
"SET 32","2109945438.jpg","09.136.2","NYC - Metropolitan Musuem of Art - Scenes from the Story of the Argonauts","wallyg","<i>Scenes from the Story of the Argonauts</i>, cassone panel, Biagio di Antonio (Italian, Florentine, active 1446-1516), Tempera on wood, gilt ornaments; Overall 24 1/8 x 60 3/8 in. (61.3 x 153.4 cm); painted surface 19 5/8 x 56 in. (49.8 x 142.2 cm), , In this panel and <a href=http://www.flickr.com/photos/wallyg/2109169431/>its companion (09.136.2)</a>, the story of Jason and the Argonauts unfolds in a continuous narrative. The episodes here include the meeting of King Aeetes and his daughters Medea and Chalciope with Jason and his companions; Jason plowing the grove of Ares, where the Golden Fleece is guarded; Orpheus lulling the dragon to sleep so that Jason may steal the fleece; and, probably, the king sending his sons off to capture the fleeing Jason and Medea. The engaged decorative moldings surrounding the painted panel are original. The paintings were probably installed as the backrests of two benches, or framed in the wainscoting of a room., , Gift of J. Pierpont Morgan, 1909 (09.136.1), , **, The <a href=http://www.flickr.com/photos/wallyg/246896968/>Metropolitan Museum of Art</a>'s permanent collection contains more than two million works of art from around the world. It opened its doors on February 20, 1872, housed in a building located at 681 Fifth Avenue in New York City. Under their guidance of John Taylor Johnston and George Palmer Putnam, the Met's holdings, initially consisting of a Roman stone sarcophagus and 174 mostly European paintings, quickly outgrew the available space. In 1873, occasioned by the Met's purchase of the Cesnola Collection of Cypriot antiquities, the museum decamped from Fifth Avenue and took up residence at the Douglas Mansion on West 14th Street. However, these new accommodations were temporary; after negotiations with the city of New York, the Met acquired land on the east side of <a href=http://www.flickr.com/photos/wallyg/sets/72157594192309086/>Central Park</a>, where it built its permanent home, a red-brick Gothic Revival stone &quot;mausoleum&quot; designed by American architects Calvert Vaux and Jacob Wrey Mold. As of 2006, the Met measures almost a quarter mile long and occupies more than two million square feet, more than 20 times the size of the original 1880 building., , In 2007, the Metropolitan Museum of Art was ranked #17 on the AIA 150 America's Favorite Architecture list., , The Metropolitan Museum of Art was designated a landmark by the New York City Landmarks Preservation Commission in 1967. The interior was designated in 1977. , , National Historic Register #86003556  addl accession","'wallyg: scenesfromthestoryoftheargonauts, wallyg: argonauts, wallyg: jasonandtheargonauts, wallyg: biagiodiantonio, wallyg: painting, wallyg: metropolitanmuseumofart, wallyg: metropolitanmuseum, wallyg: museum, wallyg: art, wallyg: nyc, wallyg: gothamist, wallyg: newyorkcity, wallyg: manhattan, wallyg: landmark, wallyg: artmuseum, wallyg: museummile, wallyg: themet, wallyg: ues, wallyg: uppereastside, wallyg: nyclpc, wallyg: newyorkcitylandmarkspreservationcommission, wallyg: nationalregisterofhistoricplaces, wallyg: nrhp, wallyg: usnationalregisterofhistoricplaces, wallyg: nationalhistoriclandmark, wallyg: nhl, wallyg: usnationalhistoriclandmark,','wallyg: scenesfromthestoryoftheargonauts, wallyg: argonauts, wa,Description,2D,Art2or3,painting,Artwork","Painting"
"SET 32","2223970973.jpg","97.33","NYC - Metropolitan Museum of Art: Charles Wilson Peale's George Washington","wallyg","<i>George Washington</i>, ca. 1779-81, Charles Wilson Peale (1741-1827), Oil on canvas; 95 x 61 3/4 in. (241.3 x 156.8 cm), , On January 18, 1779, the Supreme Executive Council of Pennsylvania passed a resolution commissioning a portrait of George Washington for the Council Chamber and selected Charles Willson Peale as the artist. In preparation, Peale traveled to the Princeton and Trenton battlefields in February of 1779 to make sketches for the background. The original portrait, the full-length version now in the Pennsylvania Academy of the Fine Arts (in Philadelphia), was a tremendous success and Peale completed numerous copies for royal palaces abroad, each time updating the general's military dress. This figure of George Washington was probably painted between June and August of 1780. In every other version, Washington is shown after the Battle of Princeton, but here he is depicted after the Battle of Trenton, the turning point of the war. It has been suggested that this portrait was commissioned upon the order of Mrs. Washington, because it is the only portrait in which Washington wears his state sword and because the painting descended in the Washington family., , Gift of Collis P. Huntington, 1897 (97.33), , **, The <a href=http://www.flickr.com/photos/wallyg/246896968/>Metropolitan Museum of Art</a>'s permanent collection contains more than two million works of art from around the world. It opened its doors on February 20, 1872, housed in a building located at 681 Fifth Avenue in New York City. Under their guidance of John Taylor Johnston and George Palmer Putnam, the Met's holdings, initially consisting of a Roman stone sarcophagus and 174 mostly European paintings, quickly outgrew the available space. In 1873, occasioned by the Met's purchase of the Cesnola Collection of Cypriot antiquities, the museum decamped from Fifth Avenue and took up residence at the Douglas Mansion on West 14th Street. However, these new accommodations were temporary; after negotiations with the city of New York, the Met acquired land on the east side of <a href=http://www.flickr.com/photos/wallyg/sets/72157594192309086/>Central Park</a>, where it built its permanent home, a red-brick Gothic Revival stone &quot;mausoleum&quot; designed by American architects Calvert Vaux and Jacob Wrey Mold. As of 2006, the Met measures almost a quarter mile long and occupies more than two million square feet, more than 20 times the size of the original 1880 building., , In 2007, the Metropolitan Museum of Art was ranked #17 on the AIA 150 America's Favorite Architecture list., , The Metropolitan Museum of Art was designated a landmark by the New York City Landmarks Preservation Commission in 1967. The interior was designated in 1977. , , National Historic Register #86003556  addl accession","'wallyg: art, wallyg: painting, wallyg: charleswilsonpeale, wallyg: metropolitanmuseumofart, wallyg: metropolitanmuseum, wallyg: museum, wallyg: nyc, wallyg: gothamist, wallyg: newyorkcity, wallyg: manhattan, wallyg: landmark, wallyg: artmuseum, wallyg: museummile, wallyg: themet, wallyg: ues, wallyg: uppereastside, wallyg: nyclpc, wallyg: newyorkcitylandmarkspreservationcommission, wallyg: ny, wallyg: portrait, wallyg: georgewashington, wallyg: revolutionarywarhero, wallyg: foundingfather, wallyg: foundingfathers, wallyg: americanrevolution, wallyg: president, wallyg: patriot, wallyg: 1776, wallyg: revolutionarywar, wallyg: nationalregisterofhistoricplaces, wallyg: nrhp, wallyg: usnationalregisterofhistoricplaces, wallyg: nationalhistoriclandmark, wallyg: nhl, wallyg: usnationalhistoriclandmark,','wallyg: art, wallyg: painting, wallyg: charleswilsonpeale, wall,Description,2D,Art2or3,painting,Artwork","Painting"
"SET 32","2224082817.jpg","97.34","NYC - Metropolitan Museum of Art: Washington Crossing the Delaware","wallyg","<i>Washington Crossing the Delaware</i>, 1851, Emmanuel Leutze (1816-1868), Oil on canvas; 149 x 255 in. (378.5 x 647.7 cm), , Leutze's depiction of Washington's attack on the Hessians at Trenton on December 25, 1776, was a great success in America and in Germany. Leutze began his first version of this subject in 1849. It was damaged in his studio by fire in 1850 and, although restored and acquired by the Bremen Kunsthalle, was again destroyed in a bombing raid in 1942. In 1850, Leutze began this version of the subject, which was placed on exhibition in New York during October of 1851. At this showing Marshall O. Roberts bought the canvas for the then-enormous sum of $10,000. In 1853, M. Knoedler published an engraving of it. Many studies for the painting exist, as do copies by other artists., , Gift of John Stewart Kennedy, 1897 (97.34) , , **, The <a href=http://www.flickr.com/photos/wallyg/246896968/>Metropolitan Museum of Art</a>'s permanent collection contains more than two million works of art from around the world. It opened its doors on February 20, 1872, housed in a building located at 681 Fifth Avenue in New York City. Under their guidance of John Taylor Johnston and George Palmer Putnam, the Met's holdings, initially consisting of a Roman stone sarcophagus and 174 mostly European paintings, quickly outgrew the available space. In 1873, occasioned by the Met's purchase of the Cesnola Collection of Cypriot antiquities, the museum decamped from Fifth Avenue and took up residence at the Douglas Mansion on West 14th Street. However, these new accommodations were temporary; after negotiations with the city of New York, the Met acquired land on the east side of <a href=http://www.flickr.com/photos/wallyg/sets/72157594192309086/>Central Park</a>, where it built its permanent home, a red-brick Gothic Revival stone &quot;mausoleum&quot; designed by American architects Calvert Vaux and Jacob Wrey Mold. As of 2006, the Met measures almost a quarter mile long and occupies more than two million square feet, more than 20 times the size of the original 1880 building., , In 2007, the Metropolitan Museum of Art was ranked #17 on the AIA 150 America's Favorite Architecture list., , The Metropolitan Museum of Art was designated a landmark by the New York City Landmarks Preservation Commission in 1967. The interior was designated in 1977. , , National Historic Register #86003556  addl accession","'wallyg: art, wallyg: painting, wallyg: washingtoncrossingthedelaware, wallyg: crossingthedelaware, wallyg: delawareriver, wallyg: emmanuelleutze, wallyg: metropolitanmuseumofart, wallyg: metropolitanmuseum, wallyg: museum, wallyg: nyc, wallyg: gothamist, wallyg: newyorkcity, wallyg: manhattan, wallyg: landmark, wallyg: artmuseum, wallyg: museummile, wallyg: themet, wallyg: ues, wallyg: uppereastside, wallyg: nyclpc, wallyg: newyorkcitylandmarkspreservationcommission, wallyg: ny, wallyg: georgewashington, wallyg: revolutionarywarhero, wallyg: foundingfather, wallyg: foundingfathers, wallyg: americanrevolution, wallyg: president, wallyg: patriot, wallyg: 1776, wallyg: revolutionarywar, wallyg: nationalregisterofhistoricplaces, wallyg: nrhp, wallyg: usnationalregisterofhistoricplaces, wallyg: nationalhistoriclandmark, wallyg: nhl, wallyg: usnationalhistoriclandmark,','wallyg: art, wallyg: painting, wallyg: washingtoncrossingthedel,Description,2D,Art2or3,painting,Artwork","Painting"
"SET 32","2224874868.jpg","97.34","NYC - Metropolitan Museum of Art: Washington Crossing the Delaware","wallyg","<i>Washington Crossing the Delaware</i>, 1851, Emmanuel Leutze (1816-1868), Oil on canvas; 149 x 255 in. (378.5 x 647.7 cm), , Leutze's depiction of Washington's attack on the Hessians at Trenton on December 25, 1776, was a great success in America and in Germany. Leutze began his first version of this subject in 1849. It was damaged in his studio by fire in 1850 and, although restored and acquired by the Bremen Kunsthalle, was again destroyed in a bombing raid in 1942. In 1850, Leutze began this version of the subject, which was placed on exhibition in New York during October of 1851. At this showing Marshall O. Roberts bought the canvas for the then-enormous sum of $10,000. In 1853, M. Knoedler published an engraving of it. Many studies for the painting exist, as do copies by other artists., , Gift of John Stewart Kennedy, 1897 (97.34) , , **, The <a href=http://www.flickr.com/photos/wallyg/246896968/>Metropolitan Museum of Art</a>'s permanent collection contains more than two million works of art from around the world. It opened its doors on February 20, 1872, housed in a building located at 681 Fifth Avenue in New York City. Under their guidance of John Taylor Johnston and George Palmer Putnam, the Met's holdings, initially consisting of a Roman stone sarcophagus and 174 mostly European paintings, quickly outgrew the available space. In 1873, occasioned by the Met's purchase of the Cesnola Collection of Cypriot antiquities, the museum decamped from Fifth Avenue and took up residence at the Douglas Mansion on West 14th Street. However, these new accommodations were temporary; after negotiations with the city of New York, the Met acquired land on the east side of <a href=http://www.flickr.com/photos/wallyg/sets/72157594192309086/>Central Park</a>, where it built its permanent home, a red-brick Gothic Revival stone &quot;mausoleum&quot; designed by American architects Calvert Vaux and Jacob Wrey Mold. As of 2006, the Met measures almost a quarter mile long and occupies more than two million square feet, more than 20 times the size of the original 1880 building., , In 2007, the Metropolitan Museum of Art was ranked #17 on the AIA 150 America's Favorite Architecture list., , The Metropolitan Museum of Art was designated a landmark by the New York City Landmarks Preservation Commission in 1967. The interior was designated in 1977. , , National Historic Register #86003556  addl accession","'wallyg: art, wallyg: painting, wallyg: washingtoncrossingthedelaware, wallyg: crossingthedelaware, wallyg: delawareriver, wallyg: emmanuelleutze, wallyg: metropolitanmuseumofart, wallyg: metropolitanmuseum, wallyg: museum, wallyg: nyc, wallyg: gothamist, wallyg: newyorkcity, wallyg: manhattan, wallyg: landmark, wallyg: artmuseum, wallyg: museummile, wallyg: themet, wallyg: ues, wallyg: uppereastside, wallyg: nyclpc, wallyg: newyorkcitylandmarkspreservationcommission, wallyg: ny, wallyg: georgewashington, wallyg: revolutionarywarhero, wallyg: foundingfather, wallyg: foundingfathers, wallyg: americanrevolution, wallyg: president, wallyg: patriot, wallyg: 1776, wallyg: revolutionarywar, wallyg: nationalregisterofhistoricplaces, wallyg: nrhp, wallyg: usnationalregisterofhistoricplaces, wallyg: nationalhistoriclandmark, wallyg: nhl, wallyg: usnationalhistoriclandmark,','wallyg: art, wallyg: painting, wallyg: washingtoncrossingthedel,Description,2D,Art2or3,painting,Artwork","Painting"
"SET 32","2227423560.jpg","07.160","NYC - Metropolitan Museum of Art - Gilbert Stuart's George Washington","wallyg","<i>George Washington</i>, Begun 1795, Gilbert Stuart (1755-1828), Oil on canvas; 30 1/4 x 25 1/4 in. (76.8 x 64.1 cm), , This portrait of President Washington, called the Gibbs-Channing-Avery portrait, is one of eighteen similar works known as the Vaughan group. The first of this type, presumably painted from life and then copied in all the others, originally belonged to Samuel Vaughan, a London merchant living in Philadelphia and a close friend of Washington. This original portrait by Stuart, painted in 1795 according to Rembrandt Peale, was subsequently acquired by Joseph Harrison of Philadelphia. While in Harrison's collection, Rembrandt Peale copied it many times. The version now in the Metropolitan Museum of Art, considered to be one of the earliest and best replicas, was sold to Stuart's close friend, Colonel George Gibbs, and subsequently descended in the Gibbs family., , Stuart's portraits of Washington are at once lifelike and iconic. This portrait was one of Stuart's first likenesses of the president and reveals the extent to which Washington was apotheosized even before his death in 1799. It is characterized by a looseness of flesh appropriate to his age. Yet Stuart also expertly modeled the skin tones with blue-gray shadows so that Washington's face seems marble-like. He appears authoritative and aristocratic, an impression further emphasized by the exaggerated eyebrows. The fantastic blen of hues in the background effectively completes the monumental image., , Rogers Fund, 1907 (07.160) , , **, The <a href=http://www.flickr.com/photos/wallyg/246896968/>Metropolitan Museum of Art</a>'s permanent collection contains more than two million works of art from around the world. It opened its doors on February 20, 1872, housed in a building located at 681 Fifth Avenue in New York City. Under their guidance of John Taylor Johnston and George Palmer Putnam, the Met's holdings, initially consisting of a Roman stone sarcophagus and 174 mostly European paintings, quickly outgrew the available space. In 1873, occasioned by the Met's purchase of the Cesnola Collection of Cypriot antiquities, the museum decamped from Fifth Avenue and took up residence at the Douglas Mansion on West 14th Street. However, these new accommodations were temporary; after negotiations with the city of New York, the Met acquired land on the east side of <a href=http://www.flickr.com/photos/wallyg/sets/72157594192309086/>Central Park</a>, where it built its permanent home, a red-brick Gothic Revival stone &quot;mausoleum&quot; designed by American architects Calvert Vaux and Jacob Wrey Mold. As of 2006, the Met measures almost a quarter mile long and occupies more than two million square feet, more than 20 times the size of the original 1880 building., , In 2007, the Metropolitan Museum of Art was ranked #17 on the AIA 150 America's Favorite Architecture list., , The Metropolitan Museum of Art was designated a landmark by the New York City Landmarks Preservation Commission in 1967. The interior was designated in 1977. , , National Historic Register #86003556  addl accession","'wallyg: art, wallyg: painting, wallyg: portrait, wallyg: gilbertstuart, wallyg: gibbschanningaveryportrait, wallyg: vaughangroup, wallyg: metropolitanmuseumofart, wallyg: metropolitanmuseum, wallyg: museum, wallyg: nyc, wallyg: gothamist, wallyg: newyorkcity, wallyg: manhattan, wallyg: landmark, wallyg: artmuseum, wallyg: museummile, wallyg: themet, wallyg: ues, wallyg: uppereastside, wallyg: nyclpc, wallyg: newyorkcitylandmarkspreservationcommission, wallyg: ny, wallyg: georgewashington, wallyg: revolutionarywarhero, wallyg: foundingfather, wallyg: foundingfathers, wallyg: americanrevolution, wallyg: president, wallyg: patriot, wallyg: 1776, wallyg: revolutionarywar, wallyg: nationalregisterofhistoricplaces, wallyg: nrhp, wallyg: usnationalregisterofhistoricplaces, wallyg: nationalhistoriclandmark, wallyg: nhl, wallyg: usnationalhistoriclandmark,','wallyg: art, wallyg: painting, wallyg: portrait, wallyg: gilber,Description,2D,Art2or3,painting,Artwork","Painting"
"SET 32","2231998506.jpg","55.5","NYC - Metropolitan Museum of Art: Salvador Dali's Crucifixion (Corpus Hypercubus)","wallyg","<i>Crucifixion (Corpus Hypercubus)</i>, 1954, Salvador Dali (Spanish, 1904-1989), Oil on Canvas; , , Dali's Crucifixion (Corpus Hypercubus) depicts a crucified Jesus Christ upon the net of a hypercube. Dali's wife, Gala, is the figure in the bottom left looking up at Jesus. The scene is depicted in front of the Bay of Port Lligat. Dali called his work, Ayn Rand's favorite painting, a &quot;metaphysical, transcendent cubism&quot; based on the Treatise on Cubic Form by Juan de Herrera, Philip II's achitect and builder of the Escorial Palace. The cross is formed by an octahedral hypercube. The number nine is identifiable and becomes consubstantial with the body of Christ., , Gift of the Chester Dale Collection, 1955 (55.5), , **, The <a href=http://www.flickr.com/photos/wallyg/246896968/>Metropolitan Museum of Art</a>'s permanent collection contains more than two million works of art from around the world. It opened its doors on February 20, 1872, housed in a building located at 681 Fifth Avenue in New York City. Under their guidance of John Taylor Johnston and George Palmer Putnam, the Met's holdings, initially consisting of a Roman stone sarcophagus and 174 mostly European paintings, quickly outgrew the available space. In 1873, occasioned by the Met's purchase of the Cesnola Collection of Cypriot antiquities, the museum decamped from Fifth Avenue and took up residence at the Douglas Mansion on West 14th Street. However, these new accommodations were temporary; after negotiations with the city of New York, the Met acquired land on the east side of <a href=http://www.flickr.com/photos/wallyg/sets/72157594192309086/>Central Park</a>, where it built its permanent home, a red-brick Gothic Revival stone &quot;mausoleum&quot; designed by American architects Calvert Vaux and Jacob Wrey Mold. As of 2006, the Met measures almost a quarter mile long and occupies more than two million square feet, more than 20 times the size of the original 1880 building., , In 2007, the Metropolitan Museum of Art was ranked #17 on the AIA 150 America's Favorite Architecture list., , The Metropolitan Museum of Art was designated a landmark by the New York City Landmarks Preservation Commission in 1967. The interior was designated in 1977. , , National Historic Register #86003556  addl accession","'wallyg: dali, wallyg: salvadordali, wallyg: salvadordali, wallyg: crucifixion, wallyg: corpushypercubus, wallyg: crucifixioncorpushypercubus, wallyg: gala, wallyg: bayofportlligat, wallyg: hypercube, wallyg: jesus, wallyg: christ, wallyg: jesuschrist, wallyg: metropolitanmuseumofart, wallyg: metropolitanmuseum, wallyg: museum, wallyg: art, wallyg: nyc, wallyg: gothamist, wallyg: newyorkcity, wallyg: manhattan, wallyg: landmark, wallyg: artmuseum, wallyg: museummile, wallyg: themet, wallyg: ues, wallyg: uppereastside, wallyg: nyclpc, wallyg: newyorkcitylandmarkspreservationcommission, wallyg: ny, wallyg: nationalregisterofhistoricplaces, wallyg: nrhp, wallyg: usnationalregisterofhistoricplaces, wallyg: nationalhistoriclandmark, wallyg: nhl, wallyg: usnationalhistoriclandmark,','wallyg: dali, wallyg: salvadordali, wallyg: salvadordali, wally,Description,2D,Art2or3,painting,Artwork","Painting"
"SET 32","2314811999.jpg","27.200","Pygmalion and Galatea by Gerome in the Metropolitan Museum of Art, December 2007","ElissaSCA","Pygmalion and Galatea, ca. 1890, Jean-Leon Gerome (French, 18241904), Oil on canvas; 35 x 27 in. (88.9 x 68.6 cm), Gift of Louis C. Raegner, 1927 (27.200) , , At the end of his career, Gerome became increasingly interested in polychrome sculpture. The present picture and a life-size marble (Hearst Monument, San Simeon), both executed about 1890, illustrate a story from Ovid's Metamorphoses. The artist chose the moment when the Cypriot sculptor Pygmalion's wish was granted by Venus. The statue of Galatea that he had created came to life and responded to his love. In an interview Gerome said that he hoped his treatment of the theme would &quot;rejuvenate&quot; a hackneyed subject. He added the apparition of Eros with his bow and arrow, which is not mentioned in Ovid's account of the legend. Comparison of the handling to that of a work of the sixties or seventies will indicate a slightly looser touch and a less precise rendering of form., , Text from: <a href=http://www.metmuseum.org/works_of_art/collection_database/european_paintings/Pygmalion_and_Galatea/viewObject.aspx?&amp;OID=110000925&amp;PgSz=1>www.metmuseum.org/works_of_art/collection_database/europe...</a>","'ElissaSCA: metropolitanmuseum, ElissaSCA: museum, ElissaSCA: art, ElissaSCA: met, ElissaSCA: mma, ElissaSCA: manhattan, ElissaSCA: newyork, ElissaSCA: newyorkcity, ElissaSCA: ny, ElissaSCA: nyc, ElissaSCA: 2007, ElissaSCA: painting, ElissaSCA: 19thcentury, ElissaSCA: gerome, ElissaSCA: mythology, ElissaSCA: fujifinepixs6000fd, ElissaSCA: french,','ElissaSCA: metropolitanmuseum, ElissaSCA: museum, ElissaSCA: ar,2D,Art2or3,painting,Artwork","Painting"
