Category,File Name,Accession #,Title,Creator,Description,Keywords,Title,PrimaryArtistName,galleryLink,gallery,InTheMuseumList Name,InTheMuseumList Url,ClassificationList,whatList,CRDID,checkAccNo,scrapiurl,meturl,flickrid,flickrpageurl,flickrimageurl,flickrimageurl_text,username,nsid,pathalias,,,,,,,,,,,
SET 01,13131676454.jpg,23.2.35,Column Capital of the God Bes,Andrew Moore,"Egyptian Art at The Metropolitan - 'This large head unmistakably depicts the god known as Bes, or, more accurately, what is known as a 'Bes-image,' since Bes's appearance was sometimes adopted for other gods, and there is no name preserved on the statue. From the Kushite Period onward, images of Bes appeared on architectural support elements such as abaci, column shafts, or, rarely, large two-sided pillars. These architectural images are especially associated with mammisis, or temples celebrating the birth of a child-god; it is thought that this is related to the long association of the deity with domestic concerns and fertility. Such Bes figures are typically frontal and carved in high relief, but the depth of this figure against an abacus or shaft surface, if that is actually its origin, would have been quite unusual.  Another possibility is that the head originally belonged to a freestanding statue. A 1-meter-tall statue of Bes was found in a chapel at the Serapeum in Saqqara along with sphinxes dated to the reign of Nectanebo II. If this head comes from such a statue, the identity of the god represented by the Bes-image might not be the domestic god Bes but a number of the other gods-especially, but not exclusively, gods associated with Horus-who adopted the deity's appearance.  This head is said to have come from the site of Bubastis in the Egyptian Delta. Work at this important but much-damaged site has produced mostly hard-stone elements, but some fragments of limestone from wall decorations have also been found there. The limestone from Bubastis is visually quite similar to the stone of this head, so it could be that the statue does indeed originate there. If so, a date to the reign of Nectanebo II, who built extensively at Bubastis and whose name is attested among its limestone remains, would be a reasonable suggestion. Moreover, although there is considerable continuity in the representation of the disquieting features associated with the Bes-image in the Late Period and into the Ptolemaic Period, the carving of the god's preserved ear-which, although leonine, is greater in height than in width-is similar to that of certain images dated to the Thirtieth Dynasty.'  addl Column Capital of the God Bes Date: 332–30 B.C. Medium: Limestone Accession Number: 23.2.35 On view in Gallery 131","Art,Bes,Egyptian,Goddess,Metropolitan Museum of Art,New York,USA,pharaoh,Artwork,sculpture,3D,Department,MetropolitanInDesc,Description,single,Artwork_number,Framing,partial",Column Capital of the God Bes, ,/visit/museum-map/galleries/egyptian/131,131,Egyptian Art,/collection/the-collection-online/search?ft=*&amp;deptids=10, ,"Limestone,Capitals",551897,23.2.35,http://scrapi.org/object/551897,http://www.metmuseum.org/collection/the-collection-online/search/551897,13131676454,https://www.flickr.com/photos/andryn2006/13131676454/,http://c2.staticflickr.com/4/3793/13131676454_3a07639bc3.jpg,http://c2.staticflickr.com/4/3793/13131676454_3a07639bc3.jpg,andryn2006,84985982@N00,andryn2006,,,,,,,,,,,
SET 01,13109842974.jpg,1999.363.58,Detail - Girl in Profile (1901),Andrew Moore,"Pablo Picasso at the Metropolitan  addl Woman in Profile Pablo Picasso (Spanish, Malaga 1881–1973 Mougins, France ) Date: 1901 Medium: Oil on paper board mounted on particle board Accession Number: 1999.363.58 On view in Gallery 904","Art,Metropolitan Museum of Art,New York,Pablo Picasso,USA,painting,Artwork,2D,MetropolitanInDesc,Description,Framing,detail,single,Artwork_number",Woman in Profile,Pablo Picasso,/visit/museum-map/galleries/modern-and-contemporary-art/904,904,Modern and Contemporary Art,/collection/the-collection-online/search?ft=*&amp;deptids=21,Paintings,"Paper,Paintings,Oil paintings",490013,1999.363.58,http://scrapi.org/object/490013,http://www.metmuseum.org/collection/the-collection-online/search/490013,13109842974,https://www.flickr.com/photos/andryn2006/13109842974/,http://c2.staticflickr.com/4/3817/13109842974_cde9a8bfe0.jpg,http://c2.staticflickr.com/4/3817/13109842974_cde9a8bfe0.jpg,andryn2006,84985982@N00,andryn2006,,,,,,,,,,,
SET 01,13110275045.jpg,2006.277a-fff,Detail - Narva,Andrew Moore,"Jean Tinguely (1961) at the Metropolitan  addl Narva Jean Tinguely (Swiss, 1925–1991) Date: 1961 Medium: Steel bars, metal wheel, tubes, cast iron, wire, aluminum, string, electric motor 220 v Accession Number: 2006.277a-fff On view in Gallery 925","Art,Jean Tinguely,Metropolitan Museum of Art,Narva,New York,USA,sculpture,Artwork,3D,Stylized,MetropolitanInDesc,Description,single,Artwork_number,Framing,partial",Narva,Jean Tinguely,/visit/museum-map/galleries/modern-and-contemporary-art/925,925,Modern and Contemporary Art,/collection/the-collection-online/search?ft=*&amp;deptids=21,Sculpture,"Metal,Sculpture,Iron and iron alloy,Iron alloy,Steel,Iron,Cord,Wire,Pipes,Aluminum,Cast iron",494943,2006.277a-fff,http://scrapi.org/object/494943,http://www.metmuseum.org/collection/the-collection-online/search/494943,13110275045,https://www.flickr.com/photos/andryn2006/13110275045/,http://c2.staticflickr.com/8/7401/13110275045_fc5673274b.jpg,http://c2.staticflickr.com/8/7401/13110275045_fc5673274b.jpg,andryn2006,84985982@N00,andryn2006,,,,,,,,,,,
SET 01,13109632744.jpg,1996.403.8,"Detail - Dutch Interior III, Joan Miró (1928)",Andrew Moore,"Metropolitan Museum - 'In 1928 Miró painted a series of three paintings inspired by postcards of seventeenth-century Dutch genre scenes that he collected during a two-week trip to Holland. In this painting, he discarded the heightened naturalism and precision of these models in favor of dreamlike distortion. He used artistic shorthand to render the central figure-an archer-yet one can easily detect the arrows and avian targets.'  addl accession Dutch Interior (III) Joan Miró (Spanish, Barcelona 1893–1983 Palma de Mallorca) Date: 1928 Medium: Oil on canvas Accession Number: 1996.403.8 Not on view","Art,Joan Miró,Metropolitan Museum of Art,New York,USA,Joan Mir√≥,painting,Artwork,2D,MetropolitanInDesc,Description,Framing,detail,single,Artwork_number",Dutch Interior (III),Joan Miró,This artwork is not on display, ,Modern and Contemporary Art,/collection/the-collection-online/search?ft=*&amp;deptids=21,Paintings,"Paintings,Canvas,Oil paintings",486758,1996.403.8,http://scrapi.org/object/486758,http://www.metmuseum.org/collection/the-collection-online/search/486758,13109632744,https://www.flickr.com/photos/andryn2006/13109632744/,http://c2.staticflickr.com/8/7334/13109632744_37af041431.jpg,http://c2.staticflickr.com/8/7334/13109632744_37af041431.jpg,andryn2006,84985982@N00,andryn2006,,,,,,,,,,,
SET 01,13131845374.jpg,"07.229.1a, b",Sarcophagus of Harkhebit I,Andrew Moore,"Egyptian Art at The Metropolitan - 'Horkhebit was a 'Royal Seal Bearer, Sole Companion, Chief Priest of the Shrines of Upper and Lower Egypt, and Overseer of the Cabinet' in early Dynasty 26. His tomb was a great shaft over sixty feet deep sunk into the desert and solid limestone bedrock in the Late Period cemetery that covers most of the area east of the Djoser complex at Saqqara. In a huge plain chamber at the bottom of the shaft, a rectangular rock core was left standing and hollowed out to house this anthropoid sarcophagus. When the tomb was excavated by the Egyptian government in 1902, the sarcophagus contained the remains of a badly decomposed gilded cedar coffin, and a mummy that wore a mask of gilded silver, gold finger and toe stalls, and numerous small amulets. Other canopic and shabti equipment accompanied the burial. The finds went to the Egyptian Museum, Cairo, while this sarcophagus was purchased from the Egyptian government by the Metropolitan Museum. The sarcophagus is one of a group with plump, squarish broad faces, smooth unarticulated bodies, and slightly protruding feet that all originate in the Memphite area and date to the time around the reign of Psamtik II (ca. 595–589 B.C.); several of them may have been produced by the same workshop. Technically the sarcophagus is one of the masterpieces of late Egyptian hard-stone carving. The interiors of the extraordinarily rendered sunk-relief hieroglyphs and figures were left rough and may have been intended to be painted, perhaps in green. The long text on the lid comes from the Book of the Dead.'  addl Sarcophagus of Harkhebit Date: 664–525 B.C. Medium: Greywacke Accession Number: 07.229.1a, b On view in Gallery 123","Art,Egyptian,Harkhebit,Metropolitan Museum of Art,New York,Sarcophagus,USA,pharaoh,Artwork,sculpture,3D,Department,MetropolitanInDesc,Description,single,Artwork_number,Framing,partial",Sarcophagus of Harkhebit, ,/visit/museum-map/galleries/egyptian/123,123,Egyptian Art,/collection/the-collection-online/search?ft=*&amp;deptids=10, ,"Funerary containers,Coffins,Sandstone,Sarcophagi,Graywacke",548211,"07.229.1a, b",http://scrapi.org/object/548211,http://www.metmuseum.org/collection/the-collection-online/search/548211,13131845374,https://www.flickr.com/photos/andryn2006/13131845374/,http://c2.staticflickr.com/8/7460/13131845374_b08a543b02.jpg,http://c2.staticflickr.com/8/7460/13131845374_b08a543b02.jpg,andryn2006,84985982@N00,andryn2006,,,,,,,,,,,
SET 01,13132416065.jpg,"07.229.1a, b",Sarcophagus of Harkhebit II,Andrew Moore,"Sarcophagus of Harkhebit II  Egyptian Art at The Metropolitan   addl  Sarcophagus of Harkhebit Date: 664–525 B.C. Medium: Greywacke Accession Number: 07.229.1a, b On view in Gallery 123","Art,Egyptian,Harkhebit,Metropolitan Museum of Art,Mummy,New York,Sarcophagus,USA,pharaoh,Artwork,sculpture,3D,Department,MetropolitanInDesc,Description,Artwork_number,multiple,partial,Framing,one-focal",Sarcophagus of Harkhebit, ,/visit/museum-map/galleries/egyptian/123,123,Egyptian Art,/collection/the-collection-online/search?ft=*&amp;deptids=10, ,"Funerary containers,Coffins,Sandstone,Sarcophagi,Graywacke",548211,"07.229.1a, b",http://scrapi.org/object/548211,http://www.metmuseum.org/collection/the-collection-online/search/548211,13132416065,https://www.flickr.com/photos/andryn2006/13132416065/,http://c2.staticflickr.com/8/7458/13132416065_8d065aae29.jpg,http://c2.staticflickr.com/8/7458/13132416065_8d065aae29.jpg,andryn2006,84985982@N00,andryn2006,,,,,,,,,,,
SET 01,14041788490.jpg,1978.416,-,-,"La représentation continue 0877 - Dominikos Theotokopoulos, Le Gréco, c. 1541-1614, Le Christ guérissant l'aveugle, v. 1570, dét. — New York, Metropolitan Museum of Art  addl Christ Healing the Blind El Greco (Domenikos Theotokopoulos) (Greek, Iráklion (Candia) 1540/41–1614 Toledo) Date: ca. 1570 Medium: Oil on canvas Accession Number: 1978.416 On view in Gallery 608","Artwork,painting,2D,MetropolitanInDesc,Description,Framing,detail,single,Artwork_number",Christ Healing the Blind,El Greco (Domenikos Theotokopoulos),/visit/museum-map/galleries/european-paintings/608,608,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Canvas,Oil paint",436572,1978.416,http://scrapi.org/object/436572,http://www.metmuseum.org/collection/the-collection-online/search/436572,14041788490,https://www.flickr.com/photos/50260960@N06/14041788490/,http://c2.staticflickr.com/6/5574/14041788490_b242805d1e.jpg,http://c2.staticflickr.com/6/5574/14041788490_b242805d1e.jpg,Afchine Davoudi,50260960@N06,,,,,,,,,,,,
SET 01,14164740858.jpg,27.66,-,-,"cmp3.10.3.1Lq4 0xa362b87a [ L'anima danzante di Desha Delteil - Desha Delteil's dancing soul ]DSC_0335.2.jinkoll  'The Vine', 1921, by Harriet Whitney Frishmuth; @ The Metropolitan Museum of Art.   addl The Vine Harriet Whitney Frishmuth (American, Philadelphia, Pennsylvania 1880–1980 Waterbury, Connecticut) Date: 1921; revised 1923: this cast 1924 Medium: Bronze Accession Number: 27.66 On view in Gallery 700","Artwork,sculpture,3D,MetropolitanInDesc,Description,single,Artwork_number,Framing,partial",The Vine,Harriet Whitney Frishmuth,/visit/museum-map/galleries/the-american-wing/700,700,Modern and Contemporary Art,/collection/the-collection-online/search?ft=*&amp;deptids=21,Sculpture,"Metal,Sculpture,Copper alloy,Bronze",487583,27.66,http://scrapi.org/object/487583,http://www.metmuseum.org/collection/the-collection-online/search/487583,14164740858,https://www.flickr.com/photos/jinkoll/14164740858/,http://c2.staticflickr.com/4/3924/14164740858_5cd1d62563.jpg,http://c2.staticflickr.com/4/3924/14164740858_5cd1d62563.jpg,jinkoll,91052665@N00,jinkoll,,,,,,,,,,,
SET 01,13131970764.jpg,"07.229.1a, b",Sarcophagus of Harkhebit III,Andrew Moore,"Egyptian Art at The Metropolitan - 'Horkhebit was a 'Royal Seal Bearer, Sole Companion, Chief Priest of the Shrines of Upper and Lower Egypt, and Overseer of the Cabinet' in early Dynasty 26. His tomb was a great shaft over sixty feet deep sunk into the desert and solid limestone bedrock in the Late Period cemetery that covers most of the area east of the Djoser complex at Saqqara. In a huge plain chamber at the bottom of the shaft, a rectangular rock core was left standing and hollowed out to house this anthropoid sarcophagus. When the tomb was excavated by the Egyptian government in 1902, the sarcophagus contained the remains of a badly decomposed gilded cedar coffin, and a mummy that wore a mask of gilded silver, gold finger and toe stalls, and numerous small amulets. Other canopic and shabti equipment accompanied the burial. The finds went to the Egyptian Museum, Cairo, while this sarcophagus was purchased from the Egyptian government by the Metropolitan Museum. The sarcophagus is one of a group with plump, squarish broad faces, smooth unarticulated bodies, and slightly protruding feet that all originate in the Memphite area and date to the time around the reign of Psamtik II (ca. 595–589 B.C.); several of them may have been produced by the same workshop. Technically the sarcophagus is one of the masterpieces of late Egyptian hard-stone carving. The interiors of the extraordinarily rendered sunk-relief hieroglyphs and figures were left rough and may have been intended to be painted, perhaps in green. The long text on the lid comes from the Book of the Dead.'  addl  Sarcophagus of Harkhebit Date: 664–525 B.C. Medium: Greywacke Accession Number: 07.229.1a, b On view in Gallery 123 ","Art,Egyptian,Harkhebit,Metropolitan Museum of Art,Mummy,New York,Sarcophagus,USA,pharaoh,Artwork,sculpture,3D,Department,MetropolitanInDesc,Description,Artwork_number,multiple,one-focal",Sarcophagus of Harkhebit, ,/visit/museum-map/galleries/egyptian/123,123,Egyptian Art,/collection/the-collection-online/search?ft=*&amp;deptids=10, ,"Funerary containers,Coffins,Sandstone,Sarcophagi,Graywacke",548211,"07.229.1a, b",http://scrapi.org/object/548211,http://www.metmuseum.org/collection/the-collection-online/search/548211,13131970764,https://www.flickr.com/photos/andryn2006/13131970764/,http://c2.staticflickr.com/8/7327/13131970764_85e8a1c724.jpg,http://c2.staticflickr.com/8/7327/13131970764_85e8a1c724.jpg,andryn2006,84985982@N00,andryn2006,,,,,,,,,,,
SET 01,14236595755.jpg,56.48,-,-,"La représentation continue 0882 - Dominikos Theotokopoulos, Le Gréco, c. 1541-1614, La Vision de saint Jean, 1608-14, dét. — New York, Metropolitan Museum of Art  addl The Vision of Saint John El Greco (Domenikos Theotokopoulos) (Greek, Iráklion (Candia) 1540/41–1614 Toledo) Date: ca. 1609–14 Medium: Oil on canvas Accession Number: 56.48 On view in Gallery 608","Artwork,painting,2D,MetropolitanInDesc,Description,Framing,detail,single,Artwork_number",The Vision of Saint John,El Greco (Domenikos Theotokopoulos),/visit/museum-map/galleries/european-paintings/608,608,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Canvas,Oil paint",436576,56.48,http://scrapi.org/object/436576,http://www.metmuseum.org/collection/the-collection-online/search/436576,14236595755,https://www.flickr.com/photos/50260960@N06/14236595755/,http://c2.staticflickr.com/6/5280/14236595755_1256cb8f08.jpg,http://c2.staticflickr.com/6/5280/14236595755_1256cb8f08.jpg,Afchine Davoudi,50260960@N06,,,,,,,,,,,,
